x,y
-17.9343,-6.5014
-16.6154,-6.5
-15.2308,-6.5
-13.8462,-6.5
-12.4615,-6.5
-11.0769,-6.5
-9.6923,-6.5
-8.3077,-6.5
-6.9231,-6.5
-5.5385,-6.5
-4.1538,-6.5
-2.7692,-6.5
-1.3846,-6.5
0.0,-6.5
1.3846,-6.5
2.7692,-6.5
4.1538,-6.5
5.5385,-6.5
6.9231,-6.5
8.3077,-6.5
9.6923,-6.5
11.0769,-6.5
12.4615,-6.5
13.8462,-6.5
15.2308,-6.5
16.6154,-6.5
17.9343,-6.5014
19.1287,-6.4013
20.2231,-6.108
21.25,-5.6292
22.1781,-4.9793
22.9793,-4.1781
23.6292,-3.25
24.108,-2.2231
24.4013,-1.1287
24.5,0.0
24.4013,1.1287
24.108,2.2231
23.6292,3.25
22.9793,4.1781
22.1781,4.9793
21.25,5.6292
20.2231,6.108
19.1287,6.4013
17.9343,6.5014
16.6154,6.5
15.2308,6.5
13.8462,6.5
12.4615,6.5
11.0769,6.5
9.6923,6.5
8.3077,6.5
6.9231,6.5
5.5385,6.5
4.1538,6.5
2.7692,6.5
1.3846,6.5
0.0,6.5
-1.3846,6.5
-2.7692,6.5
-4.1538,6.5
-5.5385,6.5
-6.9231,6.5
-8.3077,6.5
-9.6923,6.5
-11.0769,6.5
-12.4615,6.5
-13.8462,6.5
-15.2308,6.5
-16.6154,6.5
-17.9343,6.5014
-19.1287,6.4013
-20.2231,6.108
-21.25,5.6292
-22.1781,4.9793
-22.9793,4.1781
-23.6292,3.25
-24.108,2.2231
-24.4013,1.1287
-24.5,0.0
-24.4013,-1.1287
-24.108,-2.2231
-23.6292,-3.25
-22.9793,-4.1781
-22.1781,-4.9793
-21.25,-5.6292
-20.2231,-6.108
-19.1287,-6.4013
