x,y
-18.0657,-9.4986
-16.6154,-9.5
-15.2308,-9.5
-13.8462,-9.5
-12.4615,-9.5
-11.0769,-9.5
-9.6923,-9.5
-8.3077,-9.5
-6.9231,-9.5
-5.5385,-9.5
-4.1538,-9.5
-2.7692,-9.5
-1.3846,-9.5
0.0,-9.5
1.3846,-9.5
2.7692,-9.5
4.1538,-9.5
5.5385,-9.5
6.9231,-9.5
8.3077,-9.5
9.6923,-9.5
11.0769,-9.5
12.4615,-9.5
13.8462,-9.5
15.2308,-9.5
16.6154,-9.5
18.0657,-9.4986
19.6497,-9.3557
21.2492,-8.9271
22.75,-8.2272
24.1065,-7.2774
25.2774,-6.1065
26.2272,-4.75
26.9271,-3.2492
27.3557,-1.6497
27.5,0.0
27.3557,1.6497
26.9271,3.2492
26.2272,4.75
25.2774,6.1065
24.1065,7.2774
22.75,8.2272
21.2492,8.9271
19.6497,9.3557
18.0657,9.4986
16.6154,9.5
15.2308,9.5
13.8462,9.5
12.4615,9.5
11.0769,9.5
9.6923,9.5
8.3077,9.5
6.9231,9.5
5.5385,9.5
4.1538,9.5
2.7692,9.5
1.3846,9.5
0.0,9.5
-1.3846,9.5
-2.7692,9.5
-4.1538,9.5
-5.5385,9.5
-6.9231,9.5
-8.3077,9.5
-9.6923,9.5
-11.0769,9.5
-12.4615,9.5
-13.8462,9.5
-15.2308,9.5
-16.6154,9.5
-18.0657,9.4986
-19.6497,9.3557
-21.2492,8.9271
-22.75,8.2272
-24.1065,7.2774
-25.2774,6.1065
-26.2272,4.75
-26.9271,3.2492
-27.3557,1.6497
-27.5,0.0
-27.3557,-1.6497
-26.9271,-3.2492
-26.2272,-4.75
-25.2774,-6.1065
-24.1065,-7.2774
-22.75,-8.2272
-21.2492,-8.9271
-19.6497,-9.3557
