left_x,left_y,right_x,right_y
-17.9349,-6.5014,-18.0651,-9.4986
-16.6108,-6.5001,-16.6108,-9.5001
-15.2216,-6.5,-15.2215,-9.5
-13.8323,-6.5,-13.8323,-9.5
-12.4431,-6.5,-12.4431,-9.5
-11.0539,-6.5,-11.0539,-9.5
-9.6647,-6.5,-9.6647,-9.5
-8.2754,-6.5,-8.2754,-9.5
-6.8862,-6.5,-6.8862,-9.5
-5.497,-6.5,-5.497,-9.5
-4.1078,-6.5,-4.1078,-9.5
-2.7186,-6.5,-2.7186,-9.5
-1.3293,-6.5,-1.3293,-9.5
0.0599,-6.5,0.0599,-9.5
1.4491,-6.5,1.4491,-9.5
2.8383,-6.5,2.8383,-9.5
4.2276,-6.5,4.2276,-9.5
5.6168,-6.5,5.6168,-9.5
7.006,-6.5,7.006,-9.5
8.3952,-6.5,8.3952,-9.5
9.7845,-6.5,9.7845,-9.5
11.1737,-6.5,11.1737,-9.5
12.5629,-6.5,12.5629,-9.5
13.9521,-6.5,13.9521,-9.5
15.3414,-6.5,15.3413,-9.5
16.7296,-6.5,16.7316,-9.5
18.043,-6.5001,18.1967,-9.4962
19.2196,-6.3845,19.7813,-9.3314
20.3042,-6.0779,21.3676,-8.8831
21.3199,-5.5882,22.8522,-8.1674
22.2358,-4.9303,24.1907,-7.2059
23.0241,-4.1241,25.3429,-6.0275
23.6613,-3.1937,26.2742,-4.6678
24.128,-2.1673,26.9564,-3.1676
24.4104,-1.0756,27.369,-1.572
24.4998,0.0485,27.4997,0.0709
24.3936,1.1711,27.3445,1.7116
24.095,2.2584,26.9081,3.3008
23.613,3.2778,26.2036,4.7907
22.962,4.1986,25.2522,6.1364
22.1618,4.993,24.0826,7.2974
21.2362,5.6371,22.7299,8.2388
20.2133,6.1116,21.2348,8.9323
19.1238,6.4021,19.6424,9.3569
17.9353,6.5014,18.0657,9.4986
16.6113,6.5001,16.6113,9.5001
15.2221,6.5,15.222,9.5
13.8328,6.5,13.8328,9.5
12.4436,6.5,12.4436,9.5
11.0544,6.5,11.0544,9.5
9.6651,6.5,9.6651,9.5
8.2759,6.5,8.2759,9.5
6.8867,6.5,6.8867,9.5
5.4975,6.5,5.4975,9.5
4.1083,6.5,4.1083,9.5
2.719,6.5,2.719,9.5
1.3298,6.5,1.3298,9.5
-0.0594,6.5,-0.0594,9.5
-1.4486,6.5,-1.4486,9.5
-2.8379,6.5,-2.8379,9.5
-4.2271,6.5,-4.2271,9.5
-5.6163,6.5,-5.6163,9.5
-7.0055,6.5,-7.0055,9.5
-8.3947,6.5,-8.3947,9.5
-9.784,6.5,-9.784,9.5
-11.1732,6.5,-11.1732,9.5
-12.5624,6.5,-12.5624,9.5
-13.9516,6.5,-13.9516,9.5
-15.3409,6.5,-15.3408,9.5
-16.7291,6.5,-16.7311,9.5
-18.0425,6.5002,-18.1961,9.4962
-19.2192,6.3845,-19.7807,9.3315
-20.3039,6.078,-21.3671,8.8833
-21.3196,5.5884,-22.8517,8.1677
-22.2355,4.9306,-24.1903,7.2063
-23.0239,4.1244,-25.3426,6.028
-23.6611,3.1941,-26.2739,4.6683
-24.1279,2.1676,-26.9562,3.1681
-24.4103,1.076,-27.3689,1.5726
-24.4998,-0.0481,-27.4997,-0.0703
-24.3937,-1.1707,-27.3446,-1.711
-24.0952,-2.2581,-26.9083,-3.3003
-23.6132,-3.2775,-26.2039,-4.7902
-22.9623,-4.1983,-25.2526,-6.136
-22.1621,-4.9927,-24.083,-7.2971
-21.2366,-5.6369,-22.7304,-8.2385
-20.2135,-6.1115,-21.2355,-8.9321
-19.1243,-6.4023,-19.6429,-9.3571
